"","fips","sector","th2015","th2016","th2017","th2018","th2019","th2020","th2021","th2022","th2023","th2024","th2025","th2026","th2027","th2028","th2029","th2030","th2031","th2032","th2033","th2034","th2035","th2036","th2037","th2038","th2039","th2040","th2041","th2042","th2043","th2044","th2045","th2046","th2047","th2048","th2049","th2050","th2051","th2052","th2053","th2054","th2055","th2056","th2057","th2058","th2059","th2060","th2061","th2062","th2063","th2064","th2065","th2066","th2067","th2068","th2069","th2070"
"1038",21161,NA,6.80956973952566,6.76848215956485,7.1654633723851,7.75112580003203,7.91526983296741,8.46997657368369,8.16358209302228,8.24847225213237,9.08015003145295,8.92875267549533,9.24174029843647,9.47211042839338,9.7044902637047,10.4021838381758,10.4868506230935,11.1883792055514,11.6135385502473,10.9651287562071,11.7535257995666,12.5886499437526,12.2501821063488,13.0071355476566,13.6209748657172,14.1325976374154,14.1454336289086,15.4467448212911,14.8391677698239,17.2740264569263,18.3982007335335,18.2616908259442,17.7499537190621,18.5292284051663,19.7193829704791,20.041590748412,21.9989087675883,20.77535280499,22.6451962894698,22.6599062925634,23.0366008121184,23.6782939293203,25.605606919381,26.6225944440258,24.5478451481181,33.2047514563834,28.443243293906,31.4747858920492,33.4355580968609,35.8075111306233,34.9465373669603,39.47213652488,34.4092844997506,35.0326680214746,34.578651599192,42.0018586785329,38.2820441550611,44.9993150188783
"1039",21163,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1040",21165,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1041",21167,NA,2.79425205852729,2.77230247644783,2.94479017963082,3.19613172852206,3.27102380968404,3.46791917959938,3.35469143295062,3.39288459134953,3.71924049233666,3.65260914525901,3.78584270413622,3.8961825923315,4.00254669419799,4.2742045154534,4.33702626454514,4.6177520308994,4.7480978138029,4.48363742751818,4.79935865712124,5.12079099528157,5.00585143918371,5.33260047758094,5.62572221534941,5.7976897162716,5.81964858149673,6.31057862020019,5.99739880481824,6.97103063589589,7.59273161293945,7.44673987643758,7.2551203781728,7.49361271993978,8.12163578933506,8.2253768871899,9.07373495053808,8.50249218097946,9.30344321890698,9.24555256873484,9.48914429776043,9.67290369323275,10.4134458941541,10.9930151675948,9.98874488330612,13.6455726843986,11.7478509865628,12.9336902707116,13.9088269728135,14.7489043525653,14.0977257937995,16.1766832949707,14.1693316586039,14.620202731757,14.1998432241708,17.0380873677229,15.5776706825225,18.3332838683887
"1042",21169,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1043",21171,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1044",21173,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1045",21175,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1046",21177,NA,12.3444800370946,12.2338551444929,13.0306659219411,14.0365881122346,14.5298447888537,15.1214835638274,14.8472197173642,14.9810772972983,16.3528345870979,15.9909625487823,16.689843963713,17.0619536942649,17.6666416507796,18.8336367942819,19.3319028720739,20.2334110450784,21.0302806177156,20.0677068806191,21.2213273660239,22.4358114069191,21.8170355807531,23.3174335644183,24.8735325362885,25.5544730407183,25.8032929267759,27.3946273564462,26.577417492273,30.1031155279171,33.371291756817,32.6005236147061,31.4193113766502,32.4616211210326,35.5807715035067,36.3133601345252,39.980781705743,37.3894669878662,40.799466827913,39.9654650396759,41.8067203016602,42.757935163032,45.4330412845644,48.7935475645753,44.0864275001442,59.6074113926692,51.6329839640531,57.2211433015793,60.9052402524781,65.4890512171493,60.7253794295552,70.0715446145917,62.6627840631034,65.9697646795728,63.3929044548218,73.6674193105779,67.3188948253427,79.4121811444835
"1047",21179,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
